組別,分數區間均數,人數,百分比,累計人數,累計百分比
3,256.5,230,1.49,1012,6.54
3,253.5,218,1.41,1230,7.94
3,250.5,263,1.7,1493,9.64
3,247.5,278,1.8,1771,11.44
3,244.5,275,1.78,2046,13.21
3,241.5,287,1.85,2333,15.07
3,238.5,276,1.78,2609,16.85
3,235.5,292,1.89,2901,18.74
3,232.5,267,1.72,3168,20.46
3,229.5,277,1.79,3445,22.25
3,226.5,256,1.65,3701,23.9
3,223.5,232,1.5,3933,25.4
3,220.5,241,1.56,4174,26.96
3,217.5,270,1.74,4444,28.7
3,214.5,265,1.71,4709,30.41
3,211.5,280,1.81,4989,32.22
3,208.5,239,1.54,5228,33.77
3,205.5,230,1.49,5458,35.25
3,202.5,216,1.4,5674,36.65
3,199.5,227,1.47,5901,38.11
3,196.5,251,1.62,6152,39.73
3,193.5,252,1.63,6404,41.36
3,190.5,221,1.43,6625,42.79
3,187.5,238,1.54,6863,44.33
3,184.5,222,1.43,7085,45.76
3,181.5,238,1.54,7323,47.3
3,178.5,220,1.42,7543,48.72
3,175.5,215,1.39,7758,50.11
3,172.5,233,1.5,7991,51.61
3,169.5,223,1.44,8214,53.05
3,166.5,209,1.35,8423,54.4
3,163.5,225,1.45,8648,55.85
3,160.5,227,1.47,8875,57.32
3,157.5,215,1.39,9090,58.71
3,154.5,219,1.41,9309,60.12
3,151.5,228,1.47,9537,61.6
3,148.5,229,1.48,9766,63.08
3,145.5,217,1.4,9983,64.48
3,142.5,210,1.36,10193,65.83
3,139.5,181,1.17,10374,67
3,136.5,185,1.19,10559,68.2
3,133.5,162,1.05,10721,69.24
3,130.5,190,1.23,10911,70.47
3,127.5,195,1.26,11106,71.73
3,124.5,197,1.27,11303,73
3,121.5,190,1.23,11493,74.23
3,118.5,174,1.12,11667,75.35
3,115.5,192,1.24,11859,76.59
3,112.5,184,1.19,12043,77.78
3,109.5,166,1.07,12209,78.85
3,106.5,166,1.07,12375,79.93
3,103.5,159,1.03,12534,80.95
3,100.5,148,0.96,12682,81.91
3,97.5,168,1.09,12850,82.99
3,94.5,151,0.98,13001,83.97
3,91.5,178,1.15,13179,85.12
3,88.5,152,0.98,13331,86.1
3,85.5,169,1.09,13500,87.19
3,82.5,130,0.84,13630,88.03
3,79.5,115,0.74,13745,88.77
3,76.5,117,0.76,13862,89.53
3,73.5,121,0.78,13983,90.31
3,70.5,112,0.72,14095,91.04
3,67.5,108,0.7,14203,91.73
3,64.5,89,0.57,14292,92.31
3,61.5,82,0.53,14374,92.84
3,58.5,94,0.61,14468,93.44
3,55.5,52,0.34,14520,93.78
3,52.5,52,0.34,14572,94.12
3,49.5,43,0.28,14615,94.39
3,46.5,33,0.21,14648,94.61
3,43.5,23,0.15,14671,94.76
3,40.5,21,0.14,14692,94.89
3,37.5,19,0.12,14711,95.01
3,34.5,15,0.1,14726,95.11
3,31.5,9,0.06,14735,95.17
3,28.5,12,0.08,14747,95.25
3,25.5,6,0.04,14753,95.29
3,22.5,7,0.05,14760,95.33
3,19.5,5,0.03,14765,95.36
3,16.5,6,0.04,14771,95.4
3,13.5,3,0.02,14774,95.42
3,10.5,3,0.02,14777,95.44
3,7.5,1,0.01,14778,95.45
3,4.5,0,0,14778,95.45
3,1.5,705,4.55,15483,100
4,298.5,0,0,0,0
4,295.5,0,0,0,0
4,292.5,0,0,0,0
4,289.5,0,0,0,0
4,286.5,2,0.01,2,0.01
4,283.5,9,0.04,11,0.05
4,280.5,19,0.09,30,0.14
4,277.5,22,0.1,52,0.24
4,274.5,34,0.16,86,0.4
4,271.5,66,0.31,152,0.71
4,268.5,82,0.38,234,1.09
4,265.5,92,0.43,326,1.52
4,262.5,129,0.6,455,2.12
4,259.5,143,0.66,598,2.78
4,256.5,171,0.79,769,3.57
4,253.5,194,0.9,963,4.48
4,250.5,237,1.1,1200,5.58
4,247.5,241,1.12,1441,6.7
4,244.5,246,1.14,1687,7.84
4,241.5,289,1.34,1976,9.19
4,238.5,283,1.32,2259,10.5
4,235.5,318,1.48,2577,11.98
4,232.5,295,1.37,2872,13.35
4,229.5,311,1.45,3183,14.8
4,226.5,340,1.58,3523,16.38
4,223.5,294,1.37,3817,17.74
4,220.5,332,1.54,4149,19.29
4,217.5,326,1.52,4475,20.8
4,214.5,368,1.71,4843,22.51
4,211.5,330,1.53,5173,24.05
4,208.5,316,1.47,5489,25.52
4,205.5,319,1.48,5808,27
4,202.5,340,1.58,6148,28.58
4,199.5,340,1.58,6488,30.16
4,196.5,352,1.64,6840,31.8
4,193.5,356,1.65,7196,33.45
4,190.5,347,1.61,7543,35.07
4,187.5,365,1.7,7908,36.76
4,184.5,383,1.78,8291,38.54
4,181.5,325,1.51,8616,40.05
4,178.5,362,1.68,8978,41.74
4,175.5,337,1.57,9315,43.3
4,172.5,346,1.61,9661,44.91
4,169.5,376,1.75,10037,46.66
4,166.5,358,1.66,10395,48.32
4,163.5,354,1.65,10749,49.97
4,160.5,349,1.62,11098,51.59
4,157.5,337,1.57,11435,53.16
4,154.5,319,1.48,11754,54.64
4,151.5,334,1.55,12088,56.19
4,148.5,313,1.46,12401,57.65
4,145.5,319,1.48,12720,59.13
4,142.5,308,1.43,13028,60.56
4,139.5,309,1.44,13337,62
4,136.5,293,1.36,13630,63.36
4,133.5,319,1.48,13949,64.85
4,130.5,282,1.31,14231,66.16
4,127.5,283,1.32,14514,67.47
4,124.5,304,1.41,14818,68.89
4,121.5,266,1.24,15084,70.12
4,118.5,293,1.36,15377,71.48
4,115.5,285,1.32,15662,72.81
4,112.5,302,1.4,15964,74.21
4,109.5,340,1.58,16304,75.79
4,106.5,278,1.29,16582,77.09
4,103.5,269,1.25,16851,78.34
4,100.5,272,1.26,17123,79.6
4,97.5,278,1.29,17401,80.89
4,94.5,288,1.34,17689,82.23
4,91.5,241,1.12,17930,83.35
4,88.5,311,1.45,18241,84.8
4,85.5,278,1.29,18519,86.09
4,82.5,213,0.99,18732,87.08
4,79.5,248,1.15,18980,88.23
4,76.5,254,1.18,19234,89.41
4,73.5,233,1.08,19467,90.5
4,70.5,183,0.85,19650,91.35
4,67.5,189,0.88,19839,92.23
4,64.5,152,0.71,19991,92.93
4,61.5,145,0.67,20136,93.61
4,58.5,132,0.61,20268,94.22
4,55.5,85,0.4,20353,94.62
4,52.5,82,0.38,20435,95
4,49.5,60,0.28,20495,95.28
4,46.5,36,0.17,20531,95.44
4,43.5,30,0.14,20561,95.58
4,40.5,29,0.13,20590,95.72
4,37.5,18,0.08,20608,95.8
4,34.5,11,0.05,20619,95.85
4,31.5,10,0.05,20629,95.9
4,28.5,9,0.04,20638,95.94
4,25.5,7,0.03,20645,95.97
4,22.5,10,0.05,20655,96.02
4,19.5,10,0.05,20665,96.07
4,16.5,5,0.02,20670,96.09
4,13.5,4,0.02,20674,96.11
4,10.5,3,0.01,20677,96.12
4,7.5,1,0,20678,96.13
4,4.5,0,0,20678,96.13
4,1.5,833,3.87,21511,100
5,398,0,0,0,0
5,394,0,0,0,0
5,390,0,0,0,0
5,386,0,0,0,0
5,382,0,0,0,0
5,378,4,0.03,4,0.03
5,374,9,0.07,13,0.09
5,370,20,0.15,33,0.24
5,366,27,0.2,60,0.44
5,362,36,0.26,96,0.7
5,358,74,0.54,170,1.24
5,354,100,0.73,270,1.96
5,350,116,0.84,386,2.81
5,346,130,0.95,516,3.75
